time,ozone,ps,pwv
2017-04-30 00:00:00,260.352050781,78636.9140625,2.8225467205
2017-04-30 01:00:00,261.006652832,78649.0859375,2.66840982437
2017-04-30 02:00:00,261.566253662,78661.7265625,2.6091966629
2017-04-30 03:00:00,262.164581299,78667.5234375,2.57953715324
2017-04-30 04:00:00,263.143188477,78669.828125,2.51703667641
2017-04-30 05:00:00,264.033966064,78661.9296875,2.42353320122
2017-04-30 06:00:00,264.78326416,78644.84375,2.31749463081
2017-04-30 07:00:00,265.426025391,78617.15625,2.21690416336
2017-04-30 08:00:00,266.163208008,78591.515625,2.11148262024
2017-04-30 09:00:00,267.03692627,78573.4296875,1.99669134617
2017-04-30 10:00:00,267.678222656,78571.3125,1.94591224194
2017-04-30 11:00:00,268.366424561,78588.4140625,1.91889500618
2017-04-30 12:00:00,268.510437012,78619.21875,1.93519234657
2017-04-30 13:00:00,269.163635254,78654.6328125,1.99836552143
2017-04-30 14:00:00,269.457977295,78678.84375,2.11061286926
2017-04-30 15:00:00,269.481567383,78691.2109375,2.29514861107
2017-04-30 16:00:00,268.943450928,78689.6953125,2.57903313637
2017-04-30 17:00:00,268.137542725,78669.90625,2.97914648056
2017-04-30 18:00:00,267.279754639,78631.5546875,3.44405770302
2017-04-30 19:00:00,266.726623535,78614.75,3.87993216515
2017-04-30 20:00:00,266.689331055,78622.234375,4.2343249321
2017-04-30 21:00:00,267.144195557,78645.921875,4.46141958237
2017-04-30 22:00:00,267.834838867,78661.7734375,4.53615045547
2017-04-30 23:00:00,268.619262695,78679.328125,4.43718576431
2017-05-01 00:00:00,268.920898438,78702.03125,4.23825407028
2017-05-01 01:00:00,269.467681885,78725.2734375,4.07654905319
2017-05-01 02:00:00,269.594390869,78735.8125,3.94931030273
2017-05-01 03:00:00,269.142150879,78724.328125,3.78694009781
2017-05-01 04:00:00,268.325714111,78712.421875,3.51225852966
2017-05-01 05:00:00,267.085357666,78700.1484375,3.27567791939
2017-05-01 06:00:00,265.66394043,78685.1640625,3.06452798843
2017-05-01 07:00:00,264.407958984,78659.671875,2.89833188057
2017-05-01 08:00:00,262.982116699,78640.515625,2.7907075882
2017-05-01 09:00:00,261.286651611,78632.71875,2.70442271233
2017-05-01 10:00:00,260.12411499,78642.40625,2.78779268265
2017-05-01 11:00:00,259.172424316,78674.3203125,3.00581121445
2017-05-01 12:00:00,258.215057373,78718.0859375,3.24774074554
2017-05-01 13:00:00,258.064666748,78757.5390625,3.39376449585
2017-05-01 14:00:00,258.142425537,78775.9140625,3.54500389099
2017-05-01 15:00:00,258.126861572,78780.1484375,3.78053498268
2017-05-01 16:00:00,257.601745605,78766.234375,3.90419507027
2017-05-01 17:00:00,256.926025391,78738.4921875,4.15799999237
2017-05-01 18:00:00,256.564239502,78715.0,4.60802221298
2017-05-01 19:00:00,256.290344238,78703.140625,4.88616609573
2017-05-01 20:00:00,256.036560059,78692.8359375,4.93173360825
2017-05-01 21:00:00,255.944580078,78693.609375,4.98692750931
2017-05-01 22:00:00,255.836273193,78706.4921875,4.98160934448
2017-05-01 23:00:00,256.398406982,78717.5703125,4.72824335098
2017-05-02 00:00:00,256.381622314,78725.8359375,4.43993330002
2017-05-02 01:00:00,256.602722168,78732.2890625,4.23458003998
2017-05-02 02:00:00,256.98828125,78731.6484375,3.98904728889
2017-05-02 03:00:00,257.580505371,78728.5546875,3.78561353683
2017-05-02 04:00:00,259.00869751,78714.7265625,3.64702868462
2017-05-02 05:00:00,259.890899658,78702.5625,3.58250808716
2017-05-02 06:00:00,260.698394775,78686.2265625,3.56969070435
2017-05-02 07:00:00,261.456268311,78662.2578125,3.63002443314
2017-05-02 08:00:00,262.181213379,78629.8046875,3.73842048645
2017-05-02 09:00:00,262.993591309,78620.859375,3.89234900475
2017-05-02 10:00:00,263.211608887,78626.8046875,3.9797565937
2017-05-02 11:00:00,263.320892334,78658.578125,4.00372314453
2017-05-02 12:00:00,263.258789062,78715.9609375,4.04906702042
2017-05-02 13:00:00,264.223510742,78779.515625,4.09402656555
2017-05-02 14:00:00,265.719421387,78811.3515625,4.11183357239
2017-05-02 15:00:00,268.676391602,78807.671875,4.14873075485
2017-05-02 16:00:00,271.201660156,78791.671875,4.21258449554
2017-05-02 17:00:00,272.881347656,78757.8828125,4.29863166809
2017-05-02 18:00:00,273.01965332,78707.71875,4.37755775452
2017-05-02 19:00:00,272.997436523,78671.3984375,4.37297773361
2017-05-02 20:00:00,274.779144287,78653.609375,4.3097782135
2017-05-02 21:00:00,276.493255615,78664.09375,4.28437614441
2017-05-02 22:00:00,273.892181396,78698.3046875,4.28209733963
2017-05-02 23:00:00,274.088256836,78707.578125,4.0093960762
2017-05-03 00:00:00,273.878631592,78719.65625,3.63413739204
2017-05-03 01:00:00,273.401245117,78722.46875,3.34968090057
2017-05-03 02:00:00,274.155303955,78732.609375,3.21266484261
2017-05-03 03:00:00,275.183441162,78714.8046875,3.07463049889
2017-05-03 04:00:00,276.471862793,78683.8984375,2.86550211906
2017-05-03 05:00:00,276.95010376,78650.15625,2.68086624146
2017-05-03 06:00:00,277.053741455,78616.6796875,2.6827454567
2017-05-03 07:00:00,276.768280029,78586.3671875,2.85451507568
2017-05-03 08:00:00,276.113800049,78568.0,3.0379679203
2017-05-03 09:00:00,275.983398438,78553.578125,3.12567543983
2017-05-03 10:00:00,275.97869873,78556.265625,3.16728305817
2017-05-03 11:00:00,276.052703857,78581.2890625,3.1010863781
2017-05-03 12:00:00,276.27142334,78619.03125,2.95262336731
