,ps,pwv,ozone,TOTEXTTAU,TOTANGSTR,TOTSCATAU,TAUTOT,TAUHGH,TAUMID,TAULOW
2017-04-30 00:00:00,78636.9140625,2.8225467205,260.352050781,,,,,,,
2017-04-30 00:30:00,,,,0.0293471701443,1.30746877193,0.027696153149,0.0,0.0,0.0,0.0
2017-04-30 01:00:00,78649.0859375,2.66840982437,261.006652832,,,,,,,
2017-04-30 01:30:00,,,,0.0284096412361,1.3034337759,0.0267859138548,0.0,0.0,0.0,0.0
2017-04-30 02:00:00,78661.7265625,2.6091966629,261.566253662,,,,,,,
2017-04-30 02:30:00,,,,0.0280794594437,1.30492579937,0.0264600105584,0.0,0.0,0.0,0.0
2017-04-30 03:00:00,78667.5234375,2.57953715324,262.164581299,,,,,,,
2017-04-30 03:30:00,,,,0.0276998914778,1.30859339237,0.0260871667415,0.0,0.0,0.0,0.0
2017-04-30 04:00:00,78669.828125,2.51703667641,263.143188477,,,,,,,
2017-04-30 04:30:00,,,,0.0268543176353,1.30965924263,0.0252639111131,0.0,0.0,0.0,0.0
2017-04-30 05:00:00,78661.9296875,2.42353320122,264.033966064,,,,,,,
2017-04-30 05:30:00,,,,0.0257292874157,1.3076454401,0.0241662394255,0.0,0.0,0.0,0.0
2017-04-30 06:00:00,78644.84375,2.31749463081,264.78326416,,,,,,,
2017-04-30 06:30:00,,,,0.0245408900082,1.30283439159,0.0230154544115,0.0,0.0,0.0,0.0
2017-04-30 07:00:00,78617.15625,2.21690416336,265.426025391,,,,,,,
2017-04-30 07:30:00,,,,0.0232700519264,1.29549610615,0.0217810701579,0.0,0.0,0.0,0.0
2017-04-30 08:00:00,78591.515625,2.11148262024,266.163208008,,,,,,,
2017-04-30 08:30:00,,,,0.021839722991,1.28702664375,0.0203936304897,0.0,0.0,0.0,0.0
2017-04-30 09:00:00,78573.4296875,1.99669134617,267.03692627,,,,,,,
2017-04-30 09:30:00,,,,0.0203491225839,1.27922296524,0.0189447421581,0.0,0.0,0.0,0.0
2017-04-30 10:00:00,78571.3125,1.94591224194,267.678222656,,,,,,,
2017-04-30 10:30:00,,,,0.0190519187599,1.27508842945,0.0176861938089,0.0,0.0,0.0,0.0
2017-04-30 11:00:00,78588.4140625,1.91889500618,268.366424561,,,,,,,
2017-04-30 11:30:00,,,,0.0181850101799,1.27550387383,0.0168439093977,0.0,0.0,0.0,0.0
2017-04-30 12:00:00,78619.21875,1.93519234657,268.510437012,,,,,,,
2017-04-30 12:30:00,,,,0.0179386939853,1.28366732597,0.0166008900851,0.0,0.0,0.0,0.0
2017-04-30 13:00:00,78654.6328125,1.99836552143,269.163635254,,,,,,,
2017-04-30 13:30:00,,,,0.0181080792099,1.29891312122,0.0167626291513,0.0,0.0,0.0,0.0
2017-04-30 14:00:00,78678.84375,2.11061286926,269.457977295,,,,,,,
2017-04-30 14:30:00,,,,0.0185370482504,1.31183803082,0.0171803049743,0.0,0.0,0.0,0.0
