time,PS,TQV,TO3,TOTEXTTAU,TOTANGSTR,TOTSCATAU,TAUTOT,TAUHGH,TAUMID,TAULOW
2021-01-01 00:00:00,78309.336,9.219856,247.26114,,,,,,,
2021-01-01 00:30:00,,,,0.056969877,1.1968669,0.05377045,0.0,0.0,0.0,0.0
2021-01-01 01:00:00,78353.44,9.299347,246.95404,,,,,,,
2021-01-01 01:30:00,,,,0.05781701,1.1980942,0.054557614,0.0,0.0,0.0,0.0
2021-01-01 02:00:00,78399.14,9.733832,246.62802,,,,,,,
2021-01-01 02:30:00,,,,0.06002525,1.2018826,0.05671982,0.0,0.0,0.0,0.0
2021-01-01 03:00:00,78434.1,10.086275,246.08704,,,,,,,
2021-01-01 03:30:00,,,,0.06232917,1.2093157,0.059036646,0.0,0.0,0.0,0.0
2021-01-01 04:00:00,78439.3,10.17897,245.58127,,,,,,,
2021-01-01 04:30:00,,,,0.06449998,1.2189502,0.06121765,0.0,0.0,0.0,0.0
2021-01-01 05:00:00,78423.164,10.217963,245.31262,,,,,,,
2021-01-01 05:30:00,,,,0.06623233,1.2286152,0.06297882,0.0,0.0,0.0,0.0
2021-01-01 06:00:00,78396.98,10.226756,245.51111,,,,,,,
2021-01-01 06:30:00,,,,0.06756455,1.2385844,0.064336196,0.0,0.0,0.0,0.0
2021-01-01 07:00:00,78377.74,10.087981,246.25739,,,,,,,
2021-01-01 07:30:00,,,,0.0685044,1.2496713,0.06533973,0.07113675,0.0,0.0,0.07113664
2021-01-01 08:00:00,78381.0,9.84174,247.30212,,,,,,,
2021-01-01 08:30:00,,,,0.069353566,1.2650656,0.06623161,0.15643328,0.0,0.0,0.15643342
2021-01-01 09:00:00,78417.85,9.697906,248.33258,,,,,,,
2021-01-01 09:30:00,,,,0.07141602,1.2849029,0.06831142,0.175354,0.0013337192,0.0,0.17401148
2021-01-01 10:00:00,78469.22,9.693374,248.37225,,,,,,,
2021-01-01 10:30:00,,,,0.07224023,1.304714,0.06917295,0.109771945,0.05874636,0.0,0.051010348
2021-01-01 11:00:00,78525.69,9.706764,248.646,,,,,,,
2021-01-01 11:30:00,,,,0.07106517,1.3224305,0.06803003,0.104431294,0.08142092,0.02304091,0.0
2021-01-01 12:00:00,78572.78,9.671278,248.66922,,,,,,,
2021-01-01 12:30:00,,,,0.07046412,1.3410432,0.0674573,0.15655576,0.032379158,0.12417605,0.0
2021-01-01 13:00:00,78597.81,9.658971,248.67859,,,,,,,
2021-01-01 13:30:00,,,,0.07128233,1.3641986,0.068300985,0.0075385994,0.0,0.0075399084,0.0
2021-01-01 14:00:00,78609.3,9.626125,248.60828,,,,,,,
2021-01-01 14:30:00,,,,0.07199545,1.3742843,0.0690709,0.0,0.0,0.0,0.0
2021-01-01 15:00:00,78610.164,9.578462,248.45044,,,,,,,
2021-01-01 15:30:00,,,,0.07956826,1.3454763,0.07658252,0.0,0.0,0.0,0.0
2021-01-01 16:00:00,78612.41,9.577869,248.5857,,,,,,,
2021-01-01 16:30:00,,,,0.07726086,1.3381191,0.07443127,0.0,0.0,0.0,0.0
2021-01-01 17:00:00,78604.08,9.481987,248.59201,,,,,,,
2021-01-01 17:30:00,,,,0.0770524,1.3405046,0.07428652,0.0,0.0,0.0,0.0
2021-01-01 18:00:00,78587.09,9.352132,248.72296,,,,,,,
2021-01-01 18:30:00,,,,0.05675864,1.3962804,0.05452908,0.0,0.0,0.0,0.0
2021-01-01 19:00:00,78555.73,9.206527,248.9748,,,,,,,
2021-01-01 19:30:00,,,,0.05225964,1.398442,0.04998593,0.016250985,0.016250765,0.0,0.0
2021-01-01 20:00:00,78513.625,9.04422,249.53363,,,,,,,
2021-01-01 20:30:00,,,,0.050330833,1.4022858,0.04799048,0.045442566,0.04544069,0.0,0.0
2021-01-01 21:00:00,78477.03,8.892142,250.25748,,,,,,,
2021-01-01 21:30:00,,,,0.04860703,1.4058378,0.04621951,0.045700118,0.045700092,0.0,0.0
2021-01-01 22:00:00,78468.234,8.661892,250.51987,,,,,,,
2021-01-01 22:30:00,,,,0.046534736,1.4198798,0.044118,0.0073035853,0.0073033706,0.0,0.0
2021-01-01 23:00:00,78483.22,8.411109,250.58353,,,,,,,
2021-01-01 23:30:00,,,,0.045004394,1.4371877,0.042605404,0.0,0.0,0.0,0.0
2021-01-02 00:00:00,78501.87,8.060831,250.67993,,,,,,,
2021-01-02 00:30:00,,,,0.044735882,1.4577961,0.04236669,0.0,0.0,0.0,0.0
2021-01-02 01:00:00,78508.695,7.726431,249.71695,,,,,,,
2021-01-02 01:30:00,,,,0.04513842,1.4780215,0.04279799,0.0,0.0,0.0,0.0
2021-01-02 02:00:00,78510.24,7.652136,248.514,,,,,,,
2021-01-02 02:30:00,,,,0.045870744,1.4841044,0.043546125,0.0,0.0,0.0,0.0
2021-01-02 03:00:00,78508.445,7.6366076,247.22073,,,,,,,
2021-01-02 03:30:00,,,,0.046028405,1.4815292,0.043707334,0.0,0.0,0.0,0.0
2021-01-02 04:00:00,78491.22,7.621263,245.87958,,,,,,,
2021-01-02 04:30:00,,,,0.045120053,1.4789916,0.042818766,0.0,0.0,0.0,0.0
2021-01-02 05:00:00,78458.086,7.4088044,245.01752,,,,,,,
2021-01-02 05:30:00,,,,0.04309285,1.4763228,0.040823758,0.0,0.0,0.0,0.0
2021-01-02 06:00:00,78423.47,7.0735173,244.73874,,,,,,,
2021-01-02 06:30:00,,,,0.041122496,1.4740771,0.038861148,0.0,0.0,0.0,0.0
2021-01-02 07:00:00,78410.01,6.743634,244.74307,,,,,,,
2021-01-02 07:30:00,,,,0.039401818,1.470738,0.037166946,0.0,0.0,0.0,0.0
2021-01-02 08:00:00,78426.46,6.405922,245.04236,,,,,,,
2021-01-02 08:30:00,,,,0.037862554,1.4655643,0.03566951,0.0,0.0,0.0,0.0
2021-01-02 09:00:00,78465.82,6.0958624,245.56808,,,,,,,
2021-01-02 09:30:00,,,,0.036873896,1.4617367,0.034703776,0.0,0.0,0.0,0.0
2021-01-02 10:00:00,78508.57,5.825622,245.50882,,,,,,,
2021-01-02 10:30:00,,,,0.036059003,1.4653457,0.03390816,0.0,0.0,0.0,0.0
2021-01-02 11:00:00,78547.23,5.5660944,245.52893,,,,,,,
2021-01-02 11:30:00,,,,0.0347519,1.4831207,0.03263513,0.0,0.0,0.0,0.0
2021-01-02 12:00:00,78577.77,5.359118,245.06122,,,,,,,
2021-01-02 12:30:00,,,,0.033948995,1.4960438,0.03185922,0.0,0.0,0.0,0.0
2021-01-02 13:00:00,78593.53,5.245879,244.91153,,,,,,,
2021-01-02 13:30:00,,,,0.034509797,1.5010142,0.03242636,0.0,0.0,0.0,0.0
2021-01-02 14:00:00,78606.41,5.369949,245.30151,,,,,,,
2021-01-02 14:30:00,,,,0.036046937,1.5007209,0.033948813,0.0,0.0,0.0,0.0
2021-01-02 15:00:00,78614.61,5.723986,245.59885,,,,,,,
2021-01-02 15:30:00,,,,0.046565566,1.3168218,0.043424353,0.0,0.0,0.0,0.0
2021-01-02 16:00:00,78629.836,6.1057234,245.43652,,,,,,,
2021-01-02 16:30:00,,,,0.04883349,1.3088515,0.04561604,0.0,0.0,0.0,0.0
2021-01-02 17:00:00,78640.35,6.4800577,245.0839,,,,,,,
2021-01-02 17:30:00,,,,0.051471308,1.310357,0.048184168,0.0,0.0,0.0,0.0
2021-01-02 18:00:00,78646.54,6.771819,244.53577,,,,,,,
2021-01-02 18:30:00,,,,0.04981373,1.3623638,0.046762537,0.0,0.0,0.0,0.0
2021-01-02 19:00:00,78629.86,6.848356,243.8097,,,,,,,
2021-01-02 19:30:00,,,,0.050158072,1.3593285,0.047110576,0.0,0.0,0.0,0.0
2021-01-02 20:00:00,78601.26,6.760969,243.21432,,,,,,,
2021-01-02 20:30:00,,,,0.049286056,1.347239,0.046239406,0.0,0.0,0.0,0.0
2021-01-02 21:00:00,78573.56,6.4974427,243.04773,,,,,,,
2021-01-02 21:30:00,,,,0.047601033,1.3256661,0.044583578,0.0,0.0,0.0,0.0
2021-01-02 22:00:00,78557.74,6.135017,243.86609,,,,,,,
2021-01-02 22:30:00,,,,0.04511005,1.3088809,0.042182177,0.0,0.0,0.0,0.0
2021-01-02 23:00:00,78572.91,5.6221876,244.72504,,,,,,,
2021-01-02 23:30:00,,,,0.041549124,1.312212,0.03877197,0.0,0.0,0.0,0.0
2021-01-03 00:00:00,78586.26,5.024924,245.64203,,,,,,,
2021-01-03 00:30:00,,,,0.0373879,1.3338394,0.034747005,0.0,0.0,0.0,0.0
2021-01-03 01:00:00,78591.695,4.385334,245.97592,,,,,,,
2021-01-03 01:30:00,,,,0.033274584,1.370545,0.030778943,0.0,0.0,0.0,0.0
2021-01-03 02:00:00,78584.35,3.8104873,246.46451,,,,,,,
